code;name;country_id;icao
DSD;La Desirade;GP;TFFA
DSE;Combolcha;ET;HADC
DSG;Dilasag;PH;
DSI;Destin-Fort Walton Beach Airport;US;KDTS
DSK;Dera Ismail Khan;PK;OPDI
DSM;Des Moines International Airport;US;KDSM
DSN;Ordos Ejin Horo Airport;CN;ZBDS
DSO;Sondok;KP;ZKSD
DSS;Blaise Diagne International Airport;SN;GOBD
PYK;Payam;IR;OIIP
PYY;Pai Airport;TH;VTCI
PZB;Pietermaritzburg Airport;ZA;FAPM
PZI;Pan Zhi Hua Bao An Ying;CN;ZUZH
PZO;Manuel Carlos Piar Guayana Airport;VE;SVPR
PZY;Piestany;SK;LZPP
DSV;Dansville;US;KDSV
ALU;Alula;SO;HCMA
DSX;Dongsha Island;TW;RCLM
RAV;Cravo Norte;CO;SKCN
BBO;Berbera;SO;HCMI
BIB;Baidoa;SO;HCMB
BJM;Bujumbura International Airport;BI;HBBA
BLW;Bellows Field;US;HCMN
BSA;Bossaso;SO;HCMF
BSW;Boswell Bay;US;AK97
DTA;Delta;US;KDTA
BSY;Bardera;SO;HCMD
DTE;Naga;PH;RPUD
DTI;Diamantina;BR;SNDT
RAZ;Rawala Kot;PK;OPRT
LGX;Lugh Ganane;SO;HCMJ
DTB;Sisingamangaraja XII International Airport;ID;WIMN
DTL;Municipal;US;KDTL
DTM;Dortmund Airport;DE;EDLW
DTU;Wudalianchi Dedu Airport;CN;ZYDU
DUR;King Shaka International Airport;ZA;FALE
DVK;Diavik;CA;CDK2
BUO;Burao;SO;HCMV
DVL;Devils Lake Airport;US;KDVL
CMO;Obbia;SO;HCMO
DVN;Davenport;US;KDVN
DVO;Francisco Bangoy Intl Airport;PH;RPMD
CMS;Scusciuban;SO;HCMS
CSO;Cochstedt;DE;EDBC
CTW;Cottonwood;US;
CUJ;Culion;PH;
CXN;Candala;SO;HCMC
ENS;Twente;NL;EHTW
RBA;Sale Airport;MA;GMME
ZQF;Fohren;DE;
RBE;Ratanakiri;KH;VDRK
RAE;Arar Airport;SA;OERR
RBG;Roseburg Municipal Airport;US;KRBG
RAI;Nelson Mandela International Airport;CV;GVNP
RBL;Red Bluff Fss;US;KRBL
RAK;Menara Airport;MA;GMMX
RBN;Fort Jefferson;US;
RAP;Rapid City Regional Airport;US;KRAP
RAR;Rarotonga Airport;CK;NCRG
RAS;Rasht Airport;IR;OIGG
RBM;Wallmuhle;DE;EDMS
RDG;Municipalcipal/Spaatz Field;US;KRDG
YMU;Mansons Landing SPB;CA;CAV7
AAC;El Arish International Airport;EG;HEAR
CNP;Neerlerit Inaat Airport;GL;BGCO
RCR;Fulton County;US;KRCR
DBB;Alalamain International;EG;HEAL
